GKGRECORDID,V2_1DATE,V2SOURCECOLLECTIONIDENTIFIER,V2SOURCECOMMONNAME,V2DOCUMENTIDENTIFIER,V1COUNTS,V2_1COUNTS,V1THEMES,V2ENHANCEDTHEMES,V1LOCATIONS,V2ENHANCEDLOCATIONS,V1PERSONS,V2ENHANCEDPERSONS,V1ORGANIZATIONS,V2ENHANCEDORGANIZATIONS,V1_5TONE,V2_1ENHANCEDDATES,V2GCAM,V2_1SHARINGIMAGE,V2_1RELATEDIMAGES,V2_1SOCIALIMAGEEMBEDS,V2_1SOCIALVIDEOEMBEDS,V2_1QUOTATIONS,V2_1ALLNAMES,V2_1AMOUNTS,V2_1TRANSLATIONINFO,V2EXTRASXML
20170417121500-0	20170417121500	2	BBC Monitoring	Afghan Channel One /BBC Monitoring/(c) BBC	KILL#95##5#Nangarhar,Afghanistan#AF#AF18#34.3333#70.4167#-3385101;CRISISLEX_T03_DEAD#95##5#Nangarhar,Afghanistan#AF#AF18#34.3333#70.4167#-3385101;	KILL#95##5#Nangarhar,Afghanistan#AF#AF18#34.3333#70.4167#-3385101#1261;CRISISLEX_T03_DEAD#95##5#Nangarhar,Afghanistan#AF#AF18#34.3333#70.4167#-3385101#1261;	TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_AFGHAN;UNGP_FORESTS_RIVERS_OCEANS;TERROR;ARMEDCONFLICT;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_MSM;TAX_FNCACT;TAX_FNCACT_DEPUTY;MILITARY;TAX_FNCACT_CHIEF;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_CHIEF_OF_STAFF;TAX_FNCACT_CHIEF_OF_STAFF;MANMADE_DISASTER_IMPLIED;TAX_WEAPONS;TAX_WEAPONS_ARTILLERY;TAX_ETHNICITY;TAX_ETHNICITY_AMERICAN;WB_2467_TERRORISM;WB_2433_CONFLICT_AND_VIOLENCE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2462_POLITICAL_VIOLENCE_AND_WAR;EPU_CATS_NATIONAL_SECURITY;KILL;CRISISLEX_T03_DEAD;	WB_2467_TERRORISM,1094;WB_2433_CONFLICT_AND_VIOLENCE,1094;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1094;WB_2462_POLITICAL_VIOLENCE_AND_WAR,1094;EPU_CATS_NATIONAL_SECURITY,1094;TAX_FNCACT_DEPUTY,240;TAX_FNCACT_DEPUTY,876;TAX_FNCACT_DEPUTY,1272;TAX_FNCACT_CHIEF,251;TAX_FNCACT_CHIEF,882;TAX_FNCACT_CHIEF,1283;MILITARY,245;MILITARY,1277;MEDIA_MSM,187;WB_678_DIGITAL_GOVERNMENT,177;WB_694_BROADCAST_AND_MEDIA,177;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,177;TAX_WEAPONS_ARTILLERY,404;KILL,1346;CRISISLEX_T03_DEAD,1346;TAX_MILITARY_TITLE_CHIEF_OF_STAFF,260;TAX_MILITARY_TITLE_CHIEF_OF_STAFF,891;TAX_MILITARY_TITLE_CHIEF_OF_STAFF
20170417121500-1	20170417121500	2	BBC Monitoring	Yeni Safak website in English /BBC Monitoring/(c) BBC	KILL#9#PKK terrorists#1#Turkey#TU#TU#39#35#TU;CRISISLEX_T03_DEAD#9#PKK terrorists#1#Turkey#TU#TU#39#35#TU;KILL#9##4#Bitlis,Bitlis,Turkey#TU#TU13#38.4011#42.1078#-739516;CRISISLEX_T03_DEAD#9##4#Bitlis,Bitlis,Turkey#TU#TU13#38.4011#42.1078#-739516;SEIZE#48#weapons#1#Turkey#TU#TU#39#35#TU;SEIZE#323#pills#1#Turkey#TU#TU#39#35#TU;ARREST#863##1#Turkey#TU#TU#39#35#TU;SOC_GENERALCRIME#863##1#Turkey#TU#TU#39#35#TU;CRISISLEX_C07_SAFETY#863##1#Turkey#TU#TU#39#35#TU;	KILL#9#PKK terrorists#1#Turkey#TU#TU#39#35#TU#30;CRISISLEX_T03_DEAD#9#PKK terrorists#1#Turkey#TU#TU#39#35#TU#30;KILL#9##4#Bitlis,Bitlis,Turkey#TU#TU13#38.4011#42.1078#-739516#329;CRISISLEX_T03_DEAD#9##4#Bitlis,Bitlis,Turkey#TU#TU13#38.4011#42.1078#-739516#329;SEIZE#48#weapons#1#Turkey#TU#TU#39#35#TU#690;SEIZE#323#pills#1#Turkey#TU#TU#39#35#TU#875;ARREST#863##1#Turkey#TU#TU#39#35#TU#904;SOC_GENERALCRIME#863##1#Turkey#TU#TU#39#35#TU#904;CRISISLEX_C07_SAFETY#863##1#Turkey#TU#TU#39#35#TU#904;	TERROR;ARMEDCONFLICT;KILL;CRISISLEX_T03_DEAD;WB_2492_COUNTER_TERRORISM;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;TAX_FNCACT;TAX_FNCACT_OFFICIAL;CRISISLEX_C07_SAFETY;SECURITY_SERVICES;WB_2468_CONVENTIONAL_WAR;WB_2433_CONFLICT_AND_VIOLENCE;WB_2462_POLITICAL_VIOLENCE_AND_WAR;CRISISLEX_CRISISLEXREC;TAX_WEAPONS;TAX_WEAPONS_EXPLOSIVES;ENV_MINING;SEIZE;TAX_WEAPONS_FIREARMS;CRIME_ILLEGAL_DRUGS;DRUG_TRADE;ARREST;SOC_GENERALCRIME;WB_1331_HEALTH_TECHNOLOGIES;WB_2453_ORGANIZED_CRIME;WB_1350_PHARMACEUTICALS;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2456_DRUGS_AND_NARCOTICS;CRIME_CARTELS;EPU_CATS_MIGRATION_FEAR_FEAR;EPU_CATS_NATIONAL_SECURITY;	SEIZE,718;SEIZE,828;SEIZE,902;EPU_CATS_MIGRATION_FEAR_FEAR,1090;EPU_CATS_NATIONAL_SECURITY,1090;TAX_WEAPONS_EXPLOSIVES,662;SECURITY_SERVICES,248;SECURITY_SERVICES,706;WB_2468_CONVENTIONAL_WAR,248;WB_2468_CONVENTIONAL_WAR,706;WB_2433_CONFLICT_AND_VIOLENCE,248;WB_2433_CONFLICT_AND_VIOLENCE,706;WB_2462_POLITICAL_VIOLENCE_AND_WAR,248;WB_2462_POLITICAL_VIOLENCE_AND_WAR,706;TERROR,58;TERROR,368;TERROR,622;ARMEDCONFLICT,58;ARMEDCONFLICT
20170417121500-2	20170417121500	2	BBC Monitoring	Voice of the Islamic Republic of Iran,Tehran/BBC Monitoring/(c) BBC	KILL#6##4#Azarbayjan,Iran (General),Iran#IR#IR00#37#46#-3054143;AFFECT#6##4#Azarbayjan,Iran (General),Iran#IR#IR00#37#46#-3054143;PROTEST#2000##1#Pakistan#PK#PK#30#70#PK;	KILL#6##4#Azarbayjan,Iran (General),Iran#IR#IR00#37#46#-3054143#435;AFFECT#6##4#Azarbayjan,Iran (General),Iran#IR#IR00#37#46#-3054143#435;PROTEST#2000##1#Pakistan#PK#PK#30#70#PK#662;	TAX_FNCACT;TAX_FNCACT_CANDIDATES;ELECTION;TAX_FNCACT_CHIEF;TAX_FNCACT_SUPPORTERS;UNGP_FORESTS_RIVERS_OCEANS;RELIGION;CRISISLEX_O02_RESPONSEAGENCIESATCRISIS;KILL;AFFECT;NATURAL_DISASTER;NATURAL_DISASTER_FLOODS;WB_698_TRADE;ECON_WORLDCURRENCIES;ECON_WORLDCURRENCIES_DOLLARS;TAX_ETHNICITY;TAX_ETHNICITY_TURKISH;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_TURKISH;PROTEST;CONSTITUTIONAL;TAX_FNCACT_OFFICIALS;TAX_FNCACT_SPOKESMAN;CRISISLEX_CRISISLEXREC;TERROR;ARMEDCONFLICT;TAX_WEAPONS;TAX_WEAPONS_AIRCRAFT_CARRIERS;TAX_ETHNICITY_KOREAN;TAX_WORLDLANGUAGES_KOREAN;TAX_WORLDLANGUAGES_AFGHANS;CRISISLEX_C07_SAFETY;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;EPU_CATS_NATIONAL_SECURITY;TAX_FNCACT_ADVISER;GENERAL_HEALTH;MEDICAL;CRISISLEX_C03_WELLBEING_HEALTH;WB_1331_HEALTH_TECHNOLOGIES;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_1362_MEDICAL_EQUIPMENT;MANMADE_DISASTER_IMPLIED;EPU_ECONOMY_HISTORIC;CRISISLEX_T11_UPDATESSYMPATHY;	CRISISLEX_CRISISLEXREC,1079;CRISISLEX_O02_RESPONSEAGENCIESATCRISIS,455;TAX_FNCACT_CANDIDATES,114;TAX_FNCACT_CANDIDATES,334;WB_1331_HEALTH_TECHNOLOGIES,1517;WB_621_HEALTH_NUTRITION_AND_POPULATION,1517;WB_1362_MEDICAL_EQUIPMENT,1517;GENERAL_HEALTH,1507;MEDICAL,1507;CRISISLEX_C03_WELLBEING_HEALTH,1507;UNGP_FORESTS_RIVERS_OCEANS,364;KILL,493;TAX_ETHNICITY_KOREAN,1170;TAX_WORLDLANGUAGES_KOREAN,1170;PROTEST,728;PROTEST,1247;CRISISLEX_C07_SAFETY,1378;CONSTITUTIONAL
20170417121500-3	20170417121500	2	BBC Monitoring	Vision of the Islamic Republic of Iran Esfahan Provincial TV,Esfahan/BBC Monitoring/(c) BBC					4#Esfahan,Esfahan,Iran#IR#IR28#32.6597#51.6714#6013426;1#Iraq#IZ#IZ#33#44#IZ;4#Borkhar,Esfahan,Iran#IR#IR28#33.15#51.3833#219706;4#Azarbayjan,Iran (General),Iran#IR#IR00#37#46#-3054143;1#Iran#IR#IR#32#53#IR;4#Hojjat,Kerman,Iran#IR#IR29#30.4773#56.1078#10512991;4#Chadegan,Esfahan,Iran#IR#IR28#32.7682#50.6287#-3057215	4#Azarbayjan,Iran (General),Iran#IR#IR00#41037#37#46#-3054143#751;4#Chadegan,Esfahan,Iran#IR#IR28#41131#32.7682#50.6287#-3057215#883;4#Hojjat,Kerman,Iran#IR#IR29#41070#30.4773#56.1078#10512991#575;1#Iranian#IR#IR##32#53#IR#265;4#Borkhar,Esfahan,Iran#IR#IR28#41045#33.15#51.3833#219706#1234;1#Iran#IR#IR##32#53#IR#581;1#Iran#IR#IR##32#53#IR#627;1#Iran#IR#IR##32#53#IR#757;1#Iran#IR#IR##32#53#IR#787;1#Iran#IR#IR##32#53#IR#889;1#Iran#IR#IR##32#53#IR#974;1#Iran#IR#IR##32#53#IR#1178;1#Iran#IR#IR##32#53#IR#1204;1#Iran#IR#IR##32#53#IR#1240;1#Iraq#IZ#IZ##33#44#IZ#1209;4#Esfahan,Esfahan,Iran#IR#IR28#40941#32.6597#51.6714#6013426#621;4#Esfahan,Esfahan,Iran#IR#IR28#40941#32.6597#51.6714#6013426#968;4#Esfahan,Esfahan,Iran#IR#IR28#40941#32.6597#51.6714#6013426#1172	gen aghakhani aqakhani;zargarpour zargarpur;moslemin zahedi	Gen Aghakhani Aqakhani,383;Zargarpour Zargarpur
20170417121500-4	20170417121500	2	BBC Monitoring	BBC Monitoring/BBC Monitoring/(c) BBC			TERROR;ARMEDCONFLICT;TAX_FNCACT;TAX_FNCACT_SECRETARY;CRISISLEX_C07_SAFETY;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;EPU_CATS_NATIONAL_SECURITY;GENERAL_GOVERNMENT;TAX_TERROR_GROUP;TAX_TERROR_GROUP_DONETSK_PEOPLE_REPUBLIC;KILL;CRISISLEX_T03_DEAD;WOUND;CRISISLEX_T02_INJURED;WB_2433_CONFLICT_AND_VIOLENCE;WB_2451_REBELS_GUERRILLAS_AND_INSURGENTS;WB_2445_NON_STATE_SECURITY_ACTORS;MILITARY;MEDIA_SOCIAL;TAX_FNCACT_VOLUNTEERS;TAX_FNCACT_MINISTER;REBELS;SOC_SUICIDE;	WOUND,353;CRISISLEX_T02_INJURED,353;MILITARY,425;REBELS,846;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,180;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,180;WB_2490_NATIONAL_PROTECTION_AND_SECURITY,180;EPU_CATS_NATIONAL_SECURITY,180;MEDIA_SOCIAL,494;WB_2433_CONFLICT_AND_VIOLENCE,420;WB_2451_REBELS_GUERRILLAS_AND_INSURGENTS,420;WB_2445_NON_STATE_SECURITY_ACTORS,420;CRISISLEX_C07_SAFETY,180;KILL,333;CRISISLEX_T03_DEAD,333;GENERAL_GOVERNMENT,244;SOC_SUICIDE,986;TAX_FNCACT_VOLUNTEERS,528;TAX_FNCACT_VOLUNTEERS,630;TAX_FNCACT_VOLUNTEERS,927;TERROR,98;ARMEDCONFLICT,98;TAX_TERROR_GROUP_DONETSK_PEOPLE_REPUBLIC,244;TAX_FNCACT_MINISTER,811;TAX_FNCACT_SECRETARY,155;			oleksandr aleksandr khodakovskyy;igor strelkov girkin	Oleksandr Aleksandr Khodakovskyy,283;Igor Strelkov Girkin
20170417121500-5	20170417121500	2	BBC Monitoring	BBC Monitoring/BBC Monitoring/(c) BBC			TAX_ETHNICITY;TAX_ETHNICITY_UKRAINIAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_UKRAINIAN;TAX_FNCACT;TAX_FNCACT_TROOPS;CEASEFIRE;GENERAL_GOVERNMENT;TAX_TERROR_GROUP;TAX_TERROR_GROUP_DONETSK_PEOPLE_REPUBLIC;TAX_WEAPONS;TAX_WEAPONS_MORTARS;TAX_WEAPONS_GUNS;ARMEDCONFLICT;TAX_WEAPONS_GRENADE;TAX_FNCACT_DEPUTY;TAX_FNCACT_CHIEF;MILITARY;TAX_FNCACT_SERVICEMEN;TERROR;REBELS;WB_2433_CONFLICT_AND_VIOLENCE;WB_2451_REBELS_GUERRILLAS_AND_INSURGENTS;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_2445_NON_STATE_SECURITY_ACTORS;CRISISLEX_C07_SAFETY;WB_2448_MILITIA;TAX_FNCACT_REPRESENTATIVE;	TAX_FNCACT_DEPUTY,423;TAX_FNCACT_CHIEF,429;TERROR,899;REBELS,899;WB_2433_CONFLICT_AND_VIOLENCE,899;WB_2451_REBELS_GUERRILLAS_AND_INSURGENTS,899;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,899;WB_2445_NON_STATE_SECURITY_ACTORS,899;CRISISLEX_C07_SAFETY,899;TAX_FNCACT_TROOPS,16;TAX_FNCACT_TROOPS,782;TAX_FNCACT_REPRESENTATIVE,1260;WB_2448_MILITIA,1105;WB_2448_MILITIA,1278;MILITARY,519;MILITARY,1167;TAX_FNCACT_SERVICEMEN,519;TAX_FNCACT_SERVICEMEN,1167;ARMEDCONFLICT,365;ARMEDCONFLICT,560;TAX_WEAPONS_GRENADE,365;TAX_WEAPONS_GRENADE,560;GENERAL_GOVERNMENT,212;GENERAL_GOVERNMENT,270;CEASEFIRE,44;CEASEFIRE,921;CEASEFIRE
20170417121500-6	20170417121500	2	BBC Monitoring	Hurriyet website in English /BBC Monitoring/(c) BBC			USPEC_POLITICS_GENERAL1;CONSTITUTIONAL;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMAN;SELF_IDENTIFIED_HUMAN_RIGHTS;WB_2203_HUMAN_RIGHTS;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;UNGP_CRIME_VIOLENCE;ELECTION;ELECTION_FRAUD;TAX_FNCACT;TAX_FNCACT_DEPUTY;TAX_FNCACT_LEADER;TAX_POLITICAL_PARTY;TAX_POLITICAL_PARTY_REPUBLICAN;TAX_POLITICAL_PARTY_PEOPLE_PARTY;TAX_TERROR_GROUP;TAX_TERROR_GROUP_REPUBLICAN_PEOPLE_PARTY;TAX_POLITICAL_PARTY_REPUBLICAN_PEOPLE_PARTY;MEDIA_MSM;CORRUPTION;WB_2019_ANTI_CORRUPTION_LEGISLATION;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_831_GOVERNANCE;WB_832_ANTI_CORRUPTION;WB_2020_BRIBERY_FRAUD_AND_COLLUSION;TAX_FNCACT_OFFICIALS;LEGISLATION;EPU_POLICY;EPU_POLICY_LAW;	TAX_FNCACT_DEPUTY,447;TAX_FNCACT_DEPUTY,840;MEDIA_MSM,522;MEDIA_MSM,893;TAX_WORLDMAMMALS_HUMAN,149;CORRUPTION,945;WB_2019_ANTI_CORRUPTION_LEGISLATION,945;WB_696_PUBLIC_SECTOR_MANAGEMENT,945;WB_831_GOVERNANCE,945;WB_832_ANTI_CORRUPTION,945;WB_2020_BRIBERY_FRAUD_AND_COLLUSION,945;TAX_POLITICAL_PARTY_REPUBLICAN,472;TAX_FNCACT_LEADER,454;TAX_FNCACT_LEADER,847;SELF_IDENTIFIED_HUMAN_RIGHTS,156;WB_2203_HUMAN_RIGHTS,156;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,156;UNGP_CRIME_VIOLENCE,156;TAX_TERROR_GROUP_REPUBLICAN_PEOPLE_PARTY,485;TAX_POLITICAL_PARTY_REPUBLICAN_PEOPLE_PARTY,485;CONSTITUTIONAL,117;CONSTITUTIONAL,796;ELECTION,210;ELECTION,253;ELECTION,974;ELECTION,1210;ELECTION
20170417121500-7	20170417121500	1	businesswire.com	http://www.businesswire.com/news/home/20170417005083/en/Walmart%E2%80%99s-%E2%80%9CFight-Hunger.-Spark-Change.%E2%80%9D-Campaign-Calls			EPU_ECONOMY_HISTORIC;TAX_AIDGROUPS;TAX_AIDGROUPS_ACTION_AGAINST_HUNGER;CRISISLEX_CRISISLEXREC;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;MEDIA_SOCIAL;WB_652_ICT_APPLICATIONS;WB_662_SOCIAL_MEDIA;WB_658_ENTERPRISE_APPLICATIONS;UNGP_FORESTS_RIVERS_OCEANS;TAX_ETHNICITY;TAX_ETHNICITY_AMERICANS;LEADER;TAX_FNCACT;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;TAX_FNCACT_CHIEF;TAX_MILITARY_TITLE;TAX_MILITARY_TITLE_OFFICER;TAX_FNCACT_OFFICER;TAX_FNCACT_CEO;MOVEMENT_GENERAL;TAX_FNCACT_CHILDREN;TAX_FNCACT_GROCER;TAX_ECON_PRICE;FOOD_SECURITY;UNGP_AFFORDABLE_NUTRITIOUS_FOOD;TRANSPARENCY;TAX_FNCACT_LEADER;WB_2745_JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE;WB_2670_JOBS;WB_2689_JOBS_DIAGNOSTICS;WB_2748_EMPLOYMENT;	TAX_FNCACT_GROCER,3682;UNGP_FORESTS_RIVERS_OCEANS,1504;WB_678_DIGITAL_GOVERNMENT,1177;WB_694_BROADCAST_AND_MEDIA,1177;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,1177;TAX_ETHNICITY_AMERICANS,1548;TAX_ETHNICITY_AMERICANS,1855;FOOD_SECURITY,3965;UNGP_AFFORDABLE_NUTRITIOUS_FOOD,3965;TAX_FNCACT_CHIEF,2068;EPU_ECONOMY_HISTORIC,26;TAX_AIDGROUPS_ACTION_AGAINST_HUNGER,444;CRISISLEX_CRISISLEXREC,647;CRISISLEX_CRISISLEXREC,880;CRISISLEX_CRISISLEXREC,1232;CRISISLEX_CRISISLEXREC,1343;CRISISLEX_CRISISLEXREC,1368;CRISISLEX_CRISISLEXREC,2363;TAX_FNCACT_LEADER,4760;TAX_FNCACT_CEO,2948;TAX_ECON_PRICE,3957;TRANSPARENCY,4103;LEADER,2034;TAX_FNCACT_PRESIDENT,2034;USPEC_POLITICS_GENERAL1,2034;MOVEMENT_GENERAL,3221;TAX_MILITARY_TITLE_OFFICER
20170417121500-8	20170417121500	1	goacom.com	http://goacom.com/kidney-failures-in-canacona-is-still-a-mystery/	AFFECT#9#line#1#India#IN#IN#20#77#IN;	AFFECT#9#line#1#India#IN#IN#20#77#IN#494;	TAX_DISEASE;TAX_DISEASE_RENAL;GENERAL_HEALTH;MEDICAL;CRISISLEX_C03_WELLBEING_HEALTH;CRISISLEX_T02_INJURED;TAX_DISEASE_DISEASE;WB_1406_DISEASES;WB_621_HEALTH_NUTRITION_AND_POPULATION;UNGP_HEALTHCARE;AFFECT;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_HOSPITAL;SOC_POINTSOFINTEREST_HOSPITALS;TAX_ETHNICITY;TAX_ETHNICITY_INDIAN;SCIENCE;TAX_DISEASE_UROLITHIASIS;TAX_DISEASE_HYPERPLASIA;TAX_DISEASE_PROSTATIC_HYPERPLASIA;EPU_CATS_MIGRATION_FEAR_FEAR;EPU_CATS_MIGRATION_FEAR_MIGRATION;SOC_MASSMIGRATION;TAX_FNCACT;TAX_FNCACT_CHILDREN;TAX_FNCACT_VICTIMS;CRISISLEX_CRISISLEXREC;CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE;MANMADE_DISASTER_IMPLIED;TAX_FNCACT_REPRESENTATIVES;TAX_FNCACT_ADMINISTRATORS;UNGP_FORESTS_RIVERS_OCEANS;TAX_DISEASE_NEPHROPATHY;TAX_DISEASE_BALKAN_ENDEMIC_NEPHROPATHY;TAX_FOODSTAPLES;TAX_FOODSTAPLES_CEREALS;WB_137_WATER;WATER_SECURITY;UNGP_CLEAN_WATER_SANITATION;MANMADE_DISASTER;MANMADE_DISASTER_RADIOACTIVE;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;ARREST;SOC_GENERALCRIME;	GENERAL_GOVERNMENT,541;EPU_POLICY_GOVERNMENT,541;TAX_FOODSTAPLES_CEREALS,2446;TAX_FNCACT_ADMINISTRATORS,2001;MANMADE_DISASTER_RADIOACTIVE,2574;TAX_DISEASE_DISEASE,448;TAX_DISEASE_DISEASE,1855;TAX_DISEASE_DISEASE,2268;TAX_DISEASE_DISEASE,2381;WB_1406_DISEASES,448;WB_1406_DISEASES,1855;WB_1406_DISEASES,2268;WB_1406_DISEASES,2381;WB_621_HEALTH_NUTRITION_AND_POPULATION,448;WB_621_HEALTH_NUTRITION_AND_POPULATION,1855;WB_621_HEALTH_NUTRITION_AND_POPULATION,2268;WB_621_HEALTH_NUTRITION_AND_POPULATION,2381;UNGP_HEALTHCARE,448;UNGP_HEALTHCARE,1855;UNGP_HEALTHCARE,2268;UNGP_HEALTHCARE,2381;TAX_DISEASE_RENAL,92;TAX_DISEASE_RENAL,229;TAX_DISEASE_RENAL,1384;MANMADE_DISASTER_IMPLIED,1872;SOC_POINTSOFINTEREST_HOSPITAL,856;TAX_FNCACT_REPRESENTATIVES
20170417121500-9	20170417121500	1	thenewstribune.com	http://www.thenewstribune.com/news/nation-world/article144969504.html			TAX_FNCACT;TAX_FNCACT_STUDENT;WMD;CRISISLEX_T11_UPDATESSYMPATHY;TAX_FNCACT_LEADER;LEADER;TAX_FNCACT_PRESIDENT;USPEC_POLITICS_GENERAL1;TAX_FNCACT_WOMAN;BULLYING;UNGP_FREEDOM_FROM_DISCRIMINATION;IMMIGRATION;TAX_FNCACT_IMMIGRANTS;TAX_FNCACT_WOMEN;BAN;TAX_RELIGION;TAX_RELIGION_MUSLIMS;TAX_ETHNICITY;TAX_ETHNICITY_MUSLIMS;WB_845_LEGAL_AND_REGULATORY_FRAMEWORK;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_1024_PUBLIC_INTERNATIONAL_LAW;WB_1026_TREATIES;WB_962_INTERNATIONAL_LAW;UNGP_FORESTS_RIVERS_OCEANS;ENV_CLIMATECHANGE;WB_567_CLIMATE_CHANGE;CRISISLEX_CRISISLEXREC;UNGP_CLIMATE_CHANGE_ACTION;TAX_FNCACT_SCOUT;TAX_FNCACT_LAWMAKER;ENV_SOLAR;	BAN,785;IMMIGRATION,691;TAX_FNCACT_IMMIGRANTS,691;TAX_FNCACT_WOMAN,528;WB_845_LEGAL_AND_REGULATORY_FRAMEWORK,1073;WB_696_PUBLIC_SECTOR_MANAGEMENT,1073;WB_1024_PUBLIC_INTERNATIONAL_LAW,1073;WB_1026_TREATIES,1073;WB_962_INTERNATIONAL_LAW,1073;TAX_FNCACT_SCOUT,1261;TAX_FNCACT_LAWMAKER,1286;TAX_FNCACT_LAWMAKER,1360;TAX_FNCACT_STUDENT,184;WMD,227;ENV_CLIMATECHANGE,1105;WB_567_CLIMATE_CHANGE,1105;CRISISLEX_CRISISLEXREC,1105;UNGP_CLIMATE_CHANGE_ACTION,1105;UNGP_FORESTS_RIVERS_OCEANS,1098;CRISISLEX_T11_UPDATESSYMPATHY,249;BULLYING,567;UNGP_FREEDOM_FROM_DISCRIMINATION,567;TAX_FNCACT_WOMEN,699;TAX_FNCACT_WOMEN,884;TAX_RELIGION_MUSLIMS,796;TAX_ETHNICITY_MUSLIMS,796;ENV_SOLAR
20170417121500-10	20170417121500	1	newsandtribune.com	http://www.newsandtribune.com/news/thunder-over-southern-indiana-what-you-should-know-if-you/article_3f2d34ca-222f-11e7-a66e-5f049b9c0732.html			TAX_FNCACT;TAX_FNCACT_OFFICIAL;MANMADE_DISASTER_IMPLIED;ARMEDCONFLICT;MILITARY;MARITIME_INCIDENT;MARITIME;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;MEDIA_SOCIAL;DISABILITY;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_635_PUBLIC_HEALTH;WB_1464_HEALTH_OF_THE_DISABLED;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_1921_PRIVATE_SECTOR_DEVELOPMENT;WB_405_BUSINESS_CLIMATE;WB_2531_INSPECTIONS_LICENSING_AND_PERMITS;WB_2530_BUSINESS_ENVIRONMENT;SEIGE;CHECKPOINT;UNREST_CHECKPOINT;TAX_FNCACT_OFFICERS;TRAFFIC;CLOSURE;TAX_FNCACT_SUPERINTENDENT;GENERAL_GOVERNMENT;TAX_FNCACT_SECRETARY;EDUCATION;WB_470_EDUCATION;APPOINTMENT;LEADER;TAX_FNCACT_GOVERNOR;	TRAFFIC,4374;TRAFFIC,4437;TRAFFIC,4628;TAX_FNCACT_SUPERINTENDENT,5031;TAX_FNCACT_SUPERINTENDENT,5155;TAX_FNCACT_SUPERINTENDENT,5304;LEADER,5399;TAX_FNCACT_GOVERNOR,5399;GENERAL_GOVERNMENT,5114;DISABILITY,2611;DISABILITY,2706;DISABILITY,3643;DISABILITY,4692;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,2611;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,2706;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,3643;WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION,4692;WB_635_PUBLIC_HEALTH,2611;WB_635_PUBLIC_HEALTH,2706;WB_635_PUBLIC_HEALTH,3643;WB_635_PUBLIC_HEALTH,4692;WB_1464_HEALTH_OF_THE_DISABLED,2611;WB_1464_HEALTH_OF_THE_DISABLED,2706;WB_1464_HEALTH_OF_THE_DISABLED,3643;WB_1464_HEALTH_OF_THE_DISABLED,4692;WB_621_HEALTH_NUTRITION_AND_POPULATION,2611;WB_621_HEALTH_NUTRITION_AND_POPULATION
